asin,text,title,location_and_date,verified,rating
B09JFFG8D7,"Sorry I don’t have a photo to show of the phone. So I read all the reviews and expected to have to replace the battery upon arrival, maybe have blemishes or deal with a system lock out due to previous owner. Well, I lucked out. Battery was over 90%, zero blemishes, completely unlocked, and was super easy to set up. I know some got crap products but honestly after dealing with Best Buy I’m so fortunate this was legit. I will be using this service again for future phones. Just a word to the wise, NEVER SHOP AT BEST BUY. We ordered same phone same price refurbished, delivery to store would take a week. Got call next day that it was ready, called store they claim it wasn’t there. Called customer service said it was delivered and signed for. Waited a few days and got an update saying it was prepping for pick up but several days went by and still no status change. We go back and still they say no phone and it never got to the store. Called customer service yet again to find out Sammy signed for it days ago at the Southaven location. After dealing with this debacle we canceled order and reported as fraud. Turns out Sammy stole the phone and was trying to still charge our account. According to our bank this is not the first time Best Buy has done this. Never again.",Great,"Reviewed in the United States 🇺🇸 on March 3, 2023",True,5.0
B09JFFG8D7,"This is the first iPhone I have purchased from Amazon's renewed products category. It is one of their Premium Renewed products that comes with a one-year satisfaction guarantee. At the time of purchase, it was on sale and priced almost $500 below the original iPhone 12 Pro Max 256GB selling price (when first introduced by Apple).The phone arrived promptly and was in perfect condition--it looked like a new iPhone! Included with the phone in the plain white box labelled ""Amazon Renewed"" was a generic white wall charger and lightning cable. I have been using it for a month now and it has worked flawlessly. Battery Health has held steady at 86% and I get over two days of internet browsing, emailing and texting before I need to recharge.This renewed iPhone from Amazon has far exceeded my expectations. In the future, I will be buying all my iPhones from Amazon's premium renewed offerings. Highly recommended!",Great Price on a Top-of-the-Line iPhone Pro!,"Reviewed in the United States 🇺🇸 on March 18, 2023",True,5.0
B09JFFG8D7,"I lost my phone a couple months back and had been saving up for an iPhone again. I was browsing all the Amazon sellers and after a phone I wanted, that was cheaper with more storage, I decided to go with this one. Kinda worked out for the best because the reviews of the other seller were kind of a mixed bag, some phones came scratched, others had poor battery life with max battery maxing out at 60-80%. Not mad about, once I thought about it I felt more comfortable buying from the Amazon store than a random seller. The phone arrived in a cute little Amazon box with set up instructions, a charging block and cord. Bummed it didn’t come with headphones like a new iPhone but that’s only because my headphones broke and I need a new pair lol. The phone itself was perfect, sit it next to a brand new 12 pro max and you could not distinguish a difference. Set up was fine, everything works great so far, the battery health is at 96% which is decent. Very happy I decided to go with this seller.",Glad I bought from this seller,"Reviewed in the United States 🇺🇸 on March 6, 2023",True,5.0
B09JFFG8D7,"I purchased this phone as a replacement for one that broke. I was a little skeptical about purchasing a phone through Amazon and it being a renewed phone. Needless to say, I did not have an issue connecting it to my account nor did I have any issues setting my phone up. The quality was perfect, it came packaged in a box with all the necessities and items. There were no signs of scratches or dents on the phone as well, literally in perfect condition.",Great Buy,"Reviewed in the United States 🇺🇸 on March 14, 2023",True,5.0
B09JFFG8D7,"I was worried initially because the battery was completely dead. I plugged it up for about 10 minutes to let it charge before it actually came on. But overall so far so good. I couldn’t transfer my phone service over myself, (to save on an activation fee) an error message kept popping up saying the phone was already active on a line and was suggesting for me to contact the recent owner. But the merchant at the store got everything straightened out for a small activation fee.",Overall good phone so far,"Reviewed in the United States 🇺🇸 on February 14, 2023",True,4.0
B09JFFG8D7,"Everything is working fine so far so good I recommend, phone looks like new",Good buy,"Reviewed in the United States 🇺🇸 on March 30, 2023",True,5.0
B09JFFG8D7,Omg thank you so much for my amazing phone ☺️,Happy 😊,"Reviewed in the United States 🇺🇸 on April 1, 2023",True,5.0
B09JFFG8D7,I love the phone but the charging cable is worthless.  It does not maintain connectivity and dings every other minuts,Phone is Great,"Reviewed in the United States 🇺🇸 on March 1, 2023",True,4.0
B09JFFG8D7,The phone was pristine. But the battery was below 87%.,Looked brand new,"Reviewed in the United States 🇺🇸 on March 10, 2023",True,4.0
B09JFFG8D7,"Phone as described in good condition, AppleCare+ still active until July 2023 but too sure if I can use it !?",92% battery health,"Reviewed in the United States 🇺🇸 on March 21, 2023",True,5.0
B09JFFG8D7,This has been my best purchase so far it’s like the phone was in perfect condition like if it’s brand new and maybe could’ve been a trade in who knows but it’s doing great so far and maybe i’ll update my review after a couple months but i def recommend i was hesitant but i’m very happy about my purchase,Great Phone so far ! PERFECT CONDITION,"Reviewed in the United States on March 2, 2023",True,5.0
B09JFFG8D7,EVERYTHING WORKS PERFECTLY. THE BATTERY HEALTH IS AT 100% WHICH IS ALSO GOOD. MY PRODUCT CAME WITH NO SCRATCH OR DENT ON THE SCREEN.,MUST BUY!! JUST LIKE A NEW IPHONE PRODUCT,"Reviewed in the United States on March 15, 2023",True,5.0
B09JFFG8D7,I am very pleased with this purchase. The battery capacity is at 100% and the device is in mint condition and works perfectly. What more could I ask for?,Battery Capacity 100% - Mint Condition -,"Reviewed in the United States on March 7, 2023",True,5.0
B09JFFG8D7,Aún que es un producto renovado el teléfono se siente como nuevo en lo personal no note ningún rasguño por la parte de afuera y la batería llego con el 100 por ciento de capacidad,Es un buen producto,"Reviewed in the United States on February 27, 2023",True,5.0
B09JFFG8D7,It’s really good purchase do it you won’t regret it it looks new and there are no dents or scratches I am definitely going to get my husband one !,No dents or scratches,"Reviewed in the United States on February 28, 2023",True,5.0
B09JFFG8D7,"Battery capacity was at 100%Must’ve been a trade in from someone. My nephew has had the phone a couple months and it has been perfect so far!Edit* It also came in perfect condition, not even a scratch front or back.",Lucked Out!,"Reviewed in the United States on February 20, 2023",True,5.0
B09JFFG8D7,Good phone,Good phone,"Reviewed in the United States on March 20, 2023",True,5.0
B09JFFG8D7,"UPDATE: I bought the premium renewed iphone for their one YEAR satisfaction GUARANTEE with free returns and a complete refund for any reason. I bought this in May of 2022 for $900 and returned this in December 2022 However after 3 weeks of waiting I finally got my refund for $794. After hours of being juggled between representatives I was finally told that there is a 100 dollar restocking fee despite no where anywhere was it explained that there would be a restocking fee. Amazon representatives on multiple times lied to me and refused to help resolve the situation the last person I spoke to Danica A in the Philippines claimed over our 40 mintue conversation that she was the head of Amazon worldwide customer service yet also saying that she had a supervisor but refused to connect me to them because they were not equipped to handle customer service issues....do you realize how insane that is she refused to give me any information that would allow me to report her to Amazon corporate office except her first name and last initial which was most likely a lie. I paid an extra 100 dollar (apprx) for the premium renewed plan but no one I spoke to even knew what that was. I cannot emphasize highly enough that you should avoid this at all cost because they will 100% screw you over bewhare do not do this do not buy this I can't emphatically explain to you enough why you need to avoid this. Unfortunately Amazons gotten so big and taken over so much of the market share that no one can compete with their prices so if I want a phone at a reasonable price I have to buy it from them. I've been a loyal customer for years and spent thousands of dollars of my money on them If I could never buy from them again I never would. That is how much they have damaged the customer loyalty bond. Just PLEASE BEWHARE what you risk if you go ahead and purchase something from them lies, deceit, manipulation, terrible service, financial loss, and hours of lost time being juggled between representatives.May 2022So this is my first experience with Amazon's renewed premium program where you pay between $50-$100 more than the renewed price but for that you get an item whose battery is at least at 90% capacity relative to a new one and instead of a 90 day warranty you get a year warranty and a year to return the item. For less than $100 I thought that was definitely worth it. However the first iPhone 12 pro they sent me had a battery that was at 85% capacity which really pissed me off because I felt cheated so I returned it and purchased it again and I'm glad I did because the 2nd ones battery was at 100% capacity and for all intents and purposes it was a brand new phone at a used price. Granted it's still really expensive it was $900 before tax but I got this to be future proof at least for the next several years. This is my first iPhone before I was all android phones but it seemed like every year I was having to buy another phone because something out of my control always happened but my parents still had their iPhone 8 that they bought new and it was still working perfectly. I haven't had this phone for more than a few days but so far I'm very impressed with it. The facial recognition capabilities are so good. My phone can recognize me when I'm in a dark room whereas my Samsung tablet can't recognize my face without all the lights on. One feature this phone doesn't have that really surprised me was that there is no built in fingerprint scanner and I think that was a mistake on apple's part. The battery is supposed to only last 21 hours but a full charge is lasting me a little over 2 days. The screen is gorgeous is it HDR Dolby Vision and HLG compatible and not even my 4k tv supports all of those so it makes streaming look brilliant. You can see every detail even though the screen is 6.7inches. it seems like everyday I'm finding out a new function that this phone has granted a lot them I'll never use because I don't use my phone that way but it's cool to know that if I wanted to I could if I so choosed. I guess I'll stop my review here because you get the gist and I hate it when people on Amazon beat a dead horse and I don't want to be one of those so Amazon renewed premium is a worthwhile program and the iPhone 12 pro max is an awesome phone that's worth the investment.",Took twice but it was worth it! update Jan 2023,"Reviewed in the United States on May 23, 2022",True,1.0
B09JFFG8D7,"The Iphone that I received wasn't exactly what they call a premium refurbished. The battery toppped out to 86% , and the screen had what looked like a large scratch on the right top corner and on the side of the phone.I'm pretty bummed out about the battery being that low. But it is a 2 year ol phone. I plan on putting a screen protector on the glass which will cover the scratches on the screen and a case will cover the phone.The device came in a white amazon made for iphone box. It also included a non OEM charger and a non OEM lighting cord with all kinds of paper work about how I'm saving the environment, by buying a refurbished phone (who Knew)  I guess that what they mean when you buy a premium. It's unlocked so it does work with VZW, and I do like the one year warranty. ... Cheers.",Time will Tell,"Reviewed in the United States on February 24, 2023",True,3.0
B09JFFG8D7,"El teléfono llegó en un excelente estado, batería al 100%, sin detalles visibles. Es un teléfono prácticamente nuevo. Solo sin la caja original. Funciona correctamente.",Excelente,"Reviewed in the United States on February 27, 2023",True,5.0
B09JFFG8D7,Mine literally looked brand new with no scratches or anything weird on both sides and it was also never used as I checked the battery life and cycles. The battery was also 100% of battery life.,Very good!!,"Reviewed in the United States 🇺🇸 on February 19, 2023",True,5.0
B09JFFG8D7,"I purchased the graphite 256 iPhone 12 max. I couldn't be more satisfied. It came in perfect condition, looks brand new. Have had it a month and no problems what's so ever.  Got the 1 yr guarantee and the battery was 100%. Highly recommend!!",IN PERFECT CONDITION 100% battery!!!!,"Reviewed in the United States 🇺🇸 on February 16, 2023",True,5.0
B09JFFG8D7,Loved the phone arrived like brand new. Although it came withe a tiny scratch on the screen but it’s not bothering me at all. Battery is at 100 life.,Brand New,"Reviewed in the United States 🇺🇸 on January 11, 2023",True,4.0
B09JFFG8D7,Overrated can’t turn off the flashlight because of apple.I guess we know who owns this phone,Nice phone,"Reviewed in the United States 🇺🇸 on February 23, 2023",True,5.0
B09JFFG8D7,"Not much to dislike. Amazon sent me a beautiful iPhone 12 Pro Max with 93 percent battery life and you can tell. I charged it up on a Saturday morning and didn't have to charge it again until Monday night. I still had 47% battery power when I plugged it up the charger before going to bed. IOS upgraded without a hitch and cosmetically there were no scratches, just a beautiful phone and well worth the purchase. Yes, I held my breath like everyone else hoping for a great phone and Amazon delivered. (By the way, this is my second iPhone purchase from Amazon and they came through both times).",Amazon Comes Through Again,"Reviewed in the United States 🇺🇸 on January 10, 2023",True,5.0
B09JFFG8D7,"Es la primera vez que compré un celular por Amazon. Y la experiencia es igual a la de tener un celular nuevo.El teléfono llegó bien empaquetado y con todas las indicaciones de Amazon Renewed, además el rendimiento de la batería es la de una nueva.",Iphone Nuevo,"Reviewed in the United States 🇺🇸 on February 4, 2023",True,5.0
B09JFFG8D7,La puntualidad muy bien,Puntualidad,"Reviewed in the United States 🇺🇸 on March 2, 2023",True,5.0
B09JFFG8D7,"As most are, I was very nervous about buying a used/reconditioned phone, it took me days and reading reviews before I finally ordered one. This seller is honest and I would definitely buy from him again!!  My phone is in meant condition, looks absolutely brand new, not one scratch, smudge nothing wrong with it.  I bought a brand new 14 pro max for goddaughter and this phone look as good as hers that I bought from Apple.  I didn’t want to spend the money for  a 14 for myself and reviews say a 12 is as good as the 13 (for me for my use).  The Battery on this phone charges to 100%.  Again I can’t say enough good things about this seller.  Definitely would use again!!!",This phone didn’t have one scratch looked brand new!!! Came before expected date!,"Reviewed in the United States 🇺🇸 on December 29, 2022",True,5.0
B09JFFG8D7,Buena inversión,X,"Reviewed in the United States 🇺🇸 on March 2, 2023",True,5.0
B09JFFG8D7,Perfect get one!,Great phone for price,"Reviewed in the United States 🇺🇸 on February 24, 2023",True,5.0
B09JFFG8D7,"No scratches, like new, almost 100 battery life. Highly recommended this shop for buying a refurbished (premium) quality phone. It’s beautiful, top notch and very clean. 💯",Like brand new,"Reviewed in the United States on February 4, 2023",True,5.0
B09JFFG8D7,"The phone came very carefully packaged and looked basically brand new. Not even a scratch was on it. It comes with a charger which you’re better off tossing away for emergencies only because it’s honestly kind of cheap. Get yourself a good charger from Amazon or use your old iPhone charger if you have one. The only negative was the battery capacity. The phone was showing 89% max capacity. Some people choose to return and exchange the phone because of that. I personally don’t care. I purchased this phone to replace my iPhone 12 Pro Max that got destroyed. I purchased that phone new from Apple and by the time it broke, it too only had 85% max capacity so no harm no foul as far as I’m concerned. If you do want to exchange, from what I’ve read, the process seems pretty seamless.I highly recommend this Amazon service if you want a phone at a more affordable option.",Basically a new phone,"Reviewed in the United States on November 10, 2022",True,5.0
B09JFFG8D7,Overall the phone is almost perfect. the only complaint is that it was serviced at one point and had a new part put on but happy that it was an actual apple replacement part. Overall very satisfied with purchase.,"Finally a renewed premium that held up to the specs. Great phone, almost perfect.","Reviewed in the United States on January 23, 2023",True,5.0
B09JFFG8D7,Great product!,No complaints,"Reviewed in the United States on December 17, 2022",True,4.0
B09JFFG8D7,El producto parece totalmente nuevo! Se ve muy bien… 92% de condición de Batería.. es un excelente porcentaje considerando que es producto renovado.. Recomiendo!,Excelente estado!,"Reviewed in the United States on January 29, 2023",True,5.0
B09JFFG8D7,The product matched the description and works great,Expected,"Reviewed in the United States on February 9, 2023",True,5.0
B09JFFG8D7,Battery health is 88% and in the description they promise 90% or above,Very clean look like new but the battery health was LESS that 90%,"Reviewed in the United States on March 12, 2023",True,3.0
